2022-05-19 12:05:389 INFO  NewAndUsedCarPage :48 - Select car models :X-TRAIL
2022-05-19 12:05:517 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:309 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (cee2408f8bce5f0acfce2fb9e662c0f3)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:244 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (cee2408f8bce5f0acfce2fb9e662c0f3)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 12:05:268 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (cee2408f8bce5f0acfce2fb9e662c0f3)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 12:05:370 INFO  NewAndUsedCarPage :43 - Select car makes :Jaguar
2022-05-19 12:05:915 INFO  NewAndUsedCarPage :48 - Select car models :X Type
2022-05-19 12:05:30 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:736 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (aa30ed0c86283fd1297d7199f7038277)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:695 INFO  HomePage :34 - Clicking on search car :[[ChromeDriver: chrome on WINDOWS (aa30ed0c86283fd1297d7199f7038277)] -> xpath: //a[@data-gtm-label='sub nav search cars']]
2022-05-19 12:05:716 INFO  NewAndUsedCarPage :38 - Get new and used car text :[[ChromeDriver: chrome on WINDOWS (aa30ed0c86283fd1297d7199f7038277)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 12:05:287 INFO  NewAndUsedCarPage :43 - Select car makes :Mini
2022-05-19 12:05:388 INFO  NewAndUsedCarPage :48 - Select car models :Cooper
2022-05-19 12:05:407 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:198 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (f4c2a01ad92a51565a48c7d98fc2ef26)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:302 INFO  HomePage :38 - Clicking on used link :[[ChromeDriver: chrome on WINDOWS (f4c2a01ad92a51565a48c7d98fc2ef26)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-19 12:05:323 INFO  UsedCarPage :21 - Get usedCarText :[[ChromeDriver: chrome on WINDOWS (f4c2a01ad92a51565a48c7d98fc2ef26)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 12:05:425 INFO  NewAndUsedCarPage :43 - Select car makes :Audi
2022-05-19 12:05:555 INFO  NewAndUsedCarPage :48 - Select car models :A3
2022-05-19 12:05:651 INFO  NewAndUsedCarPage :54 - Select car locations :NSW - All
2022-05-19 12:05:749 INFO  NewAndUsedCarPage :59 - Select car price :$15,000
2022-05-19 12:05:911 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (f4c2a01ad92a51565a48c7d98fc2ef26)] -> xpath: //input[@id='search-submit']]
2022-05-19 12:05:981 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:774 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (b699af3304de9c90996badd5f8dd7f6e)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:703 INFO  HomePage :38 - Clicking on used link :[[ChromeDriver: chrome on WINDOWS (b699af3304de9c90996badd5f8dd7f6e)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-19 12:05:722 INFO  UsedCarPage :21 - Get usedCarText :[[ChromeDriver: chrome on WINDOWS (b699af3304de9c90996badd5f8dd7f6e)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 12:05:831 INFO  NewAndUsedCarPage :43 - Select car makes :BMW
2022-05-19 12:05:869 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:21 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (c3b6e87ab9ae6a1364797a2ecd335d4d)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:896 INFO  HomePage :38 - Clicking on used link :[[ChromeDriver: chrome on WINDOWS (c3b6e87ab9ae6a1364797a2ecd335d4d)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-19 12:05:913 INFO  UsedCarPage :21 - Get usedCarText :[[ChromeDriver: chrome on WINDOWS (c3b6e87ab9ae6a1364797a2ecd335d4d)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 12:05:12 INFO  NewAndUsedCarPage :43 - Select car makes :Jeep
2022-05-19 12:05:108 INFO  NewAndUsedCarPage :48 - Select car models :Compass
2022-05-19 12:05:219 INFO  NewAndUsedCarPage :54 - Select car locations :QLD - All
2022-05-19 12:05:315 INFO  NewAndUsedCarPage :59 - Select car price :$20,000
2022-05-19 12:05:342 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (c3b6e87ab9ae6a1364797a2ecd335d4d)] -> xpath: //input[@id='search-submit']]
2022-05-19 12:05:453 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:183 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (cba9200167e81a1378c7e83ce9c22541)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:59 INFO  HomePage :38 - Clicking on used link :[[ChromeDriver: chrome on WINDOWS (cba9200167e81a1378c7e83ce9c22541)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-19 12:05:77 INFO  UsedCarPage :21 - Get usedCarText :[[ChromeDriver: chrome on WINDOWS (cba9200167e81a1378c7e83ce9c22541)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
2022-05-19 12:05:175 INFO  NewAndUsedCarPage :43 - Select car makes :Kia
2022-05-19 12:05:301 INFO  NewAndUsedCarPage :48 - Select car models :Rio
2022-05-19 12:05:399 INFO  NewAndUsedCarPage :54 - Select car locations :VIC - All
2022-05-19 12:05:493 INFO  NewAndUsedCarPage :59 - Select car price :$10,000
2022-05-19 12:05:459 INFO  NewAndUsedCarPage :64 - Clicking on find my next car tab :[[ChromeDriver: chrome on WINDOWS (cba9200167e81a1378c7e83ce9c22541)] -> xpath: //input[@id='search-submit']]
2022-05-19 12:05:572 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 12:05:423 INFO  HomePage :29 - MouseHover ON buy+sell tab :[[ChromeDriver: chrome on WINDOWS (4fc79fcc4d679acdea5802ff551a904a)] -> xpath: //a[@data-gtm-label='top nav car buy and sell']]
2022-05-19 12:05:297 INFO  HomePage :38 - Clicking on used link :[[ChromeDriver: chrome on WINDOWS (4fc79fcc4d679acdea5802ff551a904a)] -> xpath: //header/div[@id='u_H']/div[1]/div[1]/ul[1]/li[1]/div[1]/div[1]/div[1]/ul[1]/li[2]/a[1]]
2022-05-19 12:05:320 INFO  UsedCarPage :21 - Get usedCarText :[[ChromeDriver: chrome on WINDOWS (4fc79fcc4d679acdea5802ff551a904a)] -> xpath: //h1[contains(text(),'Used Cars For Sale')]]
